Employee_ID,Age,Department,Salary,Years_At_Company,Overtime_Hours,Work_Satisfaction,Distance_From_Home,Promotion_Last_2_Years,Attrition,Overtime_Per_Year
1,50,2,138196,10,20,10,30,0,0,1.8181818181818181
2,36,3,90479,10,29,5,8,0,0,2.6363636363636362
3,29,4,54963,19,6,2,22,0,1,0.3
4,42,0,90123,14,17,4,36,0,0,1.1333333333333333
5,40,3,160911,2,3,2,5,1,1,1.0
6,44,4,137468,1,1,2,13,0,1,0.5
7,32,2,108477,18,13,4,29,0,0,0.6842105263157895
8,32,2,49388,7,12,6,31,1,0,1.5
9,45,3,40569,8,28,7,16,0,1,3.111111111111111
10,57,2,104836,1,11,10,30,0,0,5.5
11,45,4,139573,3,6,3,16,0,0,1.5
12,24,3,178087,8,1,3,12,1,0,0.1111111111111111
13,43,3,80002,15,12,10,17,0,0,0.75
14,23,3,172326,5,13,6,16,0,0,2.1666666666666665
15,45,3,172162,3,26,3,12,0,1,6.5
16,51,3,177709,19,16,2,8,0,0,0.8
17,59,3,59071,1,8,8,20,1,1,4.0
18,23,1,93243,15,16,5,3,1,0,1.0
19,42,0,160827,8,7,1,16,0,0,0.7777777777777778
20,54,2,143215,2,1,3,30,0,1,0.3333333333333333
21,33,1,136570,3,27,10,23,0,0,6.75
22,43,3,104724,14,23,8,28,1,0,1.5333333333333334
23,46,4,150359,14,12,4,5,0,0,0.8
24,48,3,110697,11,2,7,20,0,0,0.16666666666666666
25,49,3,63732,16,15,10,1,0,0,0.8823529411764706
26,37,3,156465,4,5,2,30,0,0,1.0
27,36,4,177386,5,18,7,21,0,0,3.0
28,24,0,92108,14,29,5,20,0,0,1.9333333333333333
29,58,3,146195,16,6,5,6,0,0,0.35294117647058826
30,28,0,138081,18,9,6,22,1,0,0.47368421052631576
31,42,2,71668,7,8,9,18,0,0,1.0
32,30,2,58061,10,1,6,8,0,0,0.09090909090909091
33,39,3,114252,7,27,8,39,0,0,3.375
34,25,0,74749,1,27,7,32,0,1,13.5
35,46,4,165560,19,14,9,33,0,0,0.7
36,35,3,139680,16,29,4,16,0,0,1.7058823529411764
37,30,2,86745,19,4,2,12,0,0,0.2
38,47,2,143464,4,28,7,38,0,0,5.6
39,23,3,126865,18,21,6,34,0,0,1.105263157894737
40,41,0,147428,2,3,1,14,0,1,1.0
41,49,2,58624,1,19,9,36,1,1,9.5
42,28,0,58321,15,3,9,33,0,0,0.1875
43,29,2,176560,5,17,2,23,1,0,2.8333333333333335
44,56,2,57574,11,3,3,2,0,1,0.25
45,35,1,171312,10,26,5,21,0,0,2.3636363636363638
46,38,2,176550,2,16,5,2,0,0,5.333333333333333
47,57,4,153831,3,11,1,27,0,0,2.75
48,25,3,170504,12,21,8,9,1,0,1.6153846153846154
49,23,3,130257,5,16,8,1,0,0,2.6666666666666665
50,27,0,99291,5,9,4,11,1,0,1.5
51,25,2,162600,6,21,7,3,0,0,3.0
52,50,3,85428,9,0,10,23,0,0,0.0
53,39,0,166374,2,21,3,26,0,1,7.0
